algo,n,threads,reps,seconds,correct
bitonic,4194304,1,5,0.67993,1
bitonic,4194304,2,5,0.344887,1
bitonic,4194304,4,5,0.183639,1
bitonic,4194304,8,5,0.128117,1
bitonic,4194304,10,5,0.11765,1
sample,4194304,1,5,0.0640857,1
sample,4194304,2,5,0.0875624,1
sample,4194304,4,5,0.0347879,1
sample,4194304,8,5,0.0229195,1
sample,4194304,10,5,0.0198332,1
radix,4194304,1,5,0.0152727,1
radix,4194304,2,5,0.00878275,1
radix,4194304,4,5,0.0063665,1
radix,4194304,8,5,0.00504812,1
radix,4194304,10,5,0.00408871,1
