algo,n,threads,reps,seconds,correct
bitonic,65536,10,5,0.0052285,1
bitonic,262144,10,5,0.0136095,1
bitonic,1048576,10,5,0.0396089,1
bitonic,4194304,10,5,0.118806,1
sample,65536,10,5,0.000354666,1
sample,262144,10,5,0.00114271,1
sample,1048576,10,5,0.00458142,1
sample,4194304,10,5,0.019788,1
radix,65536,10,5,0.00039775,1
radix,262144,10,5,0.000583334,1
radix,1048576,10,5,0.00121033,1
radix,4194304,10,5,0.00411358,1
std,65536,10,5,0.000892625,1
std,262144,10,5,0.00381554,1
std,1048576,10,5,0.0159902,1
std,4194304,10,5,0.0627594,1
